-383,153,-4
-370,172,17
-391,165,4
-376,168,16
-376,157,6
-380,163,3
-366,166,6
-377,169,4
-379,162,2
-367,165,7
-374,162,5
-381,169,13
-372,160,-4
-390,169,7
-382,172,10
-386,163,-3
-377,162,-6
-378,164,-6
-371,159,0
-387,159,10
-375,158,-1
-370,161,2
-364,170,2
-380,171,7
-374,173,12
-366,165,23
-367,162,6
-369,169,2
-385,155,7
-369,172,-2
-364,163,5
-378,180,-1
-386,173,13
-375,168,11
-380,172,-9
-370,162,16
-395,153,8
-374,156,1
-368,168,11
-377,156,11
-370,161,5
-370,165,12
-382,174,5
-370,177,-10
-374,161,2
-371,176,7
-380,158,4
-373,161,6
-377,159,2
-375,168,22
-369,175,12
-377,161,4
-385,172,14
-383,165,-6
-381,164,6
-358,162,-1
-351,168,-1
-352,166,2
-360,174,4
-330,182,0
-358,153,5
-384,159,14
-387,171,8
-400,170,8
-366,153,-7
-396,154,13
-359,164,9
-383,173,20
-390,161,2
-374,171,16
-388,164,15
-374,151,3
-380,155,5
-353,180,8
-392,168,13
-383,162,-2
-382,169,6
-378,164,13
-381,161,-9
-362,162,-13
-374,157,7
-390,167,14
-368,169,6
-380,166,-3
-373,175,6
-373,161,10
-372,158,-1
-377,172,-2
-375,172,-7
-372,171,0
-383,166,11
-369,156,-2
-369,175,10
-374,164,7
-371,173,1
-376,162,-5
-365,172,10
-361,176,-5
-362,178,-7
-382,172,-1
-380,164,6
-390,163,4
-378,174,1
-372,169,14
-376,180,2
-371,167,8
-376,163,-1
-384,175,-10
-380,168,13
-372,166,-8
-375,162,-7
-381,175,9
-369,155,6
-376,166,5
-383,186,-13
-384,163,2
-391,162,1
-377,155,18
-377,163,-8
-367,161,4
-383,157,9
-389,175,4
-368,174,-4
-389,170,6
-374,169,17
-380,161,6
-360,164,-2
-364,166,15
-372,165,-9
-397,166,1
-385,159,-12
-375,164,21
-377,150,6
-370,169,13
-379,169,5
-387,162,-8
-358,168,-3
-382,160,2
-370,158,6
-366,152,11
-377,173,2
-368,168,10
-365,171,-7
-379,179,7
-372,166,15
-376,170,4
-383,163,8
-375,163,3
-380,164,10
-373,166,9
-382,173,5
-375,165,6
-379,170,5
-386,160,-3
-364,168,11
-366,173,4
-369,168,5
-380,165,14
-372,150,14
-381,162,2
-382,158,9
-374,171,0
-386,159,8
-382,156,2
-394,169,3
-381,157,1
-382,165,-2
-383,166,6
-372,163,12
-367,176,8
-374,167,9
-384,177,-4
-378,178,3
-370,153,-3
-378,165,17
-379,159,4
-372,166,12
-396,169,8
-368,162,10
-373,151,8
-373,161,10
-381,168,2
-369,156,17
-388,162,2
-367,170,0
-383,162,12
-380,160,16
-382,149,-2
-377,166,-2
-370,157,12
-366,161,-7
-365,157,16
-384,167,16
-374,167,9
-380,169,5
-380,176,-3
-372,160,10
-387,171,3
-376,172,8
-389,165,-5
-385,161,15
-387,158,8
-382,168,4
-384,161,1
-367,167,15
-383,171,0
-378,165,8
-376,169,-10
-373,167,3
-370,170,3
-388,162,2
-378,163,2
-387,154,-1
-373,172,-2
-384,165,10
-388,157,12
-386,163,4
-384,164,3
-378,161,-2
-372,167,11
-366,171,6
-385,170,9
-377,173,12
-375,163,-1
-375,175,10
-372,164,1
-389,167,18
-379,173,-2
-383,168,9
-379,163,5
-381,166,12
-376,175,-6
-375,152,2
-374,159,3
-382,166,9
-372,166,-2
-382,152,6
-378,177,9
-387,164,-7
-376,159,10
-382,159,-1
-377,172,6
-367,163,1
-370,165,3
-386,162,-6
-380,162,-10
-381,164,-5
-376,164,6
-378,165,-9
-384,166,-3
-382,158,5
-386,165,3
-378,164,-11
-365,158,1
-370,175,11
-380,167,-2
-371,171,-7
-376,163,-3
-385,166,9
-387,164,4
-377,171,8
-381,178,2
-355,176,5
-370,163,3
-376,161,6
-374,176,10
-377,166,4
-363,173,-3
-363,163,11
-390,170,1
-384,159,3
-371,154,5
-370,166,-2
-378,162,17
-374,168,4
-364,168,0
-387,166,10
-384,172,1
-374,167,2
-378,166,6
-367,166,13
-378,171,18
-374,159,12
-366,169,1
-377,166,-4
-372,156,-3
-384,165,8
-370,161,-5
-381,177,4
-371,166,8
-382,171,9
-362,167,8
-384,176,11
-370,164,-11
-393,159,-2
-367,161,6
-387,175,7
-372,165,16
-373,167,20
-379,172,7
-369,170,18
-384,168,6
-367,165,1
-361,165,12
-376,165,23
-375,164,12
-374,169,9
-367,172,-15
-377,167,3
-380,163,0
-385,163,6
-369,165,4
-374,156,14
-386,172,5
-383,164,11
-382,154,1
-371,162,-2
-375,171,8
-386,163,13
-377,175,15
-372,167,8
-374,165,5
-373,151,10
-395,165,8
-386,153,16
-375,177,-2
-370,160,10
-389,173,1
-376,163,3
-371,179,7
-384,179,7
-370,166,-2
-361,164,-1
-383,178,8
-369,166,-4
-377,161,-3
-379,162,0
-363,172,7
-365,157,7
-360,163,1
-372,171,-6
-369,154,14
-377,161,-2
-370,174,1
-365,170,10
-372,165,-3
-372,156,14
-393,163,21
-379,166,9
-366,178,0
-369,166,11
-376,167,-7
-371,177,-5
-384,159,-5
-379,178,11
-382,168,2
-365,165,9
-375,170,0
-381,167,4
-369,165,13
-376,169,6
-380,172,12
-377,165,13
-369,161,-1
-379,165,8
-373,170,8
-377,169,8
-381,165,9
-376,174,0
-363,170,-5
-383,160,-3
-375,174,-4
-376,174,7
-366,165,15
-383,168,-3
-382,165,1
-367,159,9
-370,158,-1
-382,159,9
-381,175,3
-370,164,3
-368,160,-1
-378,156,0
-371,167,-5
-378,163,13
-367,161,1
-381,170,-7
-366,168,15
-369,167,-1
-371,161,7
-384,170,12
-372,162,5
-373,159,-1
-382,170,-4
-372,166,3
-368,159,-1
-380,166,-7
-381,161,-2
-375,171,-4
-380,177,3
-361,169,14
-373,164,3
-377,163,-1
-380,173,0
-357,167,-9
-377,169,16
-377,165,0
-372,166,-4
-373,160,11
-365,176,6
-380,165,-4
-363,169,4
-358,151,-1
-379,167,5
-385,166,-7
-369,171,6
-361,164,0
-368,160,20
-378,167,-1
-364,174,9
-381,163,10
-366,166,-4
-382,171,5
-377,172,9
-383,176,0
-379,182,15
-374,181,-6
-381,166,5
-380,175,11
-378,162,0
-373,158,4
-369,167,6
-386,169,-3
-377,162,-3
-389,172,7
-382,161,5
-393,163,0
-380,168,1
-377,168,13
-376,159,3
-386,154,-3
-379,149,19
-370,169,1
-380,159,1
-371,163,-1
-367,162,11
-381,161,3
-369,180,1
-388,167,6
-389,169,6
-384,153,-1
-383,173,-5
-379,171,4
-376,153,-1
-375,162,18
-368,157,-4
-369,165,8
-376,170,-10
-379,173,6
-373,183,1
-386,165,2
-378,155,-8
-380,174,-11
-365,184,-1
-379,161,1
-387,169,-2
-375,167,-5
-379,170,8
-390,168,2
-374,160,-1
-378,159,-8
-363,171,-2
-386,167,6
-378,161,2
-381,168,12
-367,162,-4
-390,163,2
-370,154,8
-382,160,4
-383,147,12
-379,164,9
-386,167,3
-370,168,-14
-375,161,11
-376,159,12
-384,164,9
-367,169,-1
-382,156,-14
-380,161,9
-383,160,0
-363,163,8
-379,162,7
-383,157,1
-375,162,5
-379,168,15
-385,165,6
-364,165,8
-388,174,3
-367,166,16
-371,140,12
-373,157,4
