1240,808,17168
464,1616,17736
2824,1664,18216
4472,680,18496
4616,-1184,17944
5008,-1384,18128
5016,1360,18768
4928,344,18536
5280,-1096,18016
5600,432,18288
3968,1128,18272
3816,456,18112
4568,-328,17968
4144,480,18072
3936,1000,18080
-8296,-1224,16120
4720,872,16336
3768,2264,16784
-1352,9472,20712
528,6144,19160
2576,1008,17384
1792,-1520,16512
6008,-6664,15768
1088,3888,18224
6176,-4120,16648
4768,-1752,17368
-4880,7328,23184
3032,1408,17984
3160,-16,17920
1496,3992,18112
1544,3184,17752
1048,3088,18104
2744,928,17648
4272,1608,18432
3840,2024,16384
1216,3832,17856
144,5888,17016
536,4568,16744
1392,6288,16848
2856,5896,16672
2248,6632,16616
3280,5096,23008
6000,4432,15264
2176,6024,17912
1496,5264,16032
3032,5632,16784
3320,4664,17416
3904,5464,15240
4160,6400,11376
3760,6696,11872
2896,4896,15992
2624,4760,16824
2568,4488,16496
3152,4280,16464
3320,4064,16264
1560,6912,16520
112,8696,16816
-808,10208,15072
-104,10888,15200
-96,11944,15624
2304,10240,15680
2808,9504,12960
21488,-9648,-7664
-7728,32767,30456
4912,17112,11344
7160,9840,12864
6528,11824,13600
1392,17568,-3216
5856,10216,14136
5888,8960,11968
6872,8400,12632
6224,9608,14840
5160,9200,12368
5192,9936,12648
9968,21968,16168
29856,18208,6688
-2928,-8896,13960
-7376,-4568,15912
5784,14296,13656
2128,5760,14376
3216,6744,14456
11728,7840,13760
13304,7912,12272
13464,8688,11776
13088,9240,11432
13960,7744,11840
16808,6160,10760
16928,3320,8472
18480,5608,5656
18160,1360,4880
10880,-376,7576
13248,-2128,5952
11400,-5016,6888
13208,-6464,6440
13424,-8064,5568
12424,-8792,4424
10376,-8920,2456
7080,-19384,-320
4344,-14928,-2792
8552,-13720,-552
2056,-16184,-1648
3024,-16512,-4376
-504,-17960,-4920
-1216,-15760,-6336
-792,-15544,-6464
-592,-11776,-3144
-1400,-9368,-4336
-5728,-10968,-7760
-7968,-14616,-9216
-7680,-12920,-9080
-6944,-14552,-12024
