-316,174,-11
-355,176,-6
-341,173,-1
-329,176,2
-302,176,-8
-320,165,-6
-318,159,-9
-312,164,8
-319,179,-4
-348,160,-8
-363,179,5
-352,177,-6
-344,169,2
-361,164,9
-367,172,-7
-370,177,3
-374,166,10
-387,179,1
-426,169,-3
-411,166,6
-436,168,-7
-432,160,5
-428,172,4
-401,162,-5
-412,169,-1
-435,161,4
-419,174,-2
-393,160,-18
-387,170,-10
-392,169,-6
-383,166,-7
-367,158,19
-403,179,4
-397,157,-7
-361,162,-2
-335,169,-7
-319,174,-30
-385,190,-13
-265,169,2
-243,170,-13
-321,166,-85
-367,167,-94
-397,170,-68
-440,161,-72
-384,164,-74
-353,169,-64
-348,175,-41
-363,166,-32
-414,177,-30
-433,174,-30
-401,179,-47
-369,171,-43
-311,169,-38
-345,154,-30
-364,177,-12
-379,168,-4
-443,160,-7
-503,171,-13
-430,164,8
-451,167,-14
-523,161,-31
-564,153,-48
-606,168,-25
-607,163,-27
-649,164,-29
-760,164,-16
-832,153,-16
-972,146,-4
-1211,150,-5
-1017,146,3
-885,154,7
-839,156,43
-696,166,131
-510,163,175
-364,150,147
-284,166,86
-280,165,6
-334,172,-6
-342,162,0
-349,161,-4
-433,165,-4
-542,151,0
-668,149,1
-878,177,0
-1064,156,6
-1323,151,21
-1305,163,210
-1478,156,161
-2525,140,162
-4637,162,-16
-5621,181,-429
-5850,180,-359
-6381,230,-648
-5520,241,-747
-4414,168,-201
-4511,134,1
-4421,74,54
-5113,-50,86
-5922,-69,86
-7049,-120,264
-8273,-376,808
-9740,-466,928
-9543,-594,923
-9350,-619,896
-8924,-658,832
-8635,-592,756
-7779,-763,986
-7649,-694,918
-7517,-676,948
-6934,-424,1007
-6266,45,829
-5562,304,390
-4957,311,-26
-5129,648,-246
-5086,1079,-626
-4963,1035,-475
-5442,1163,-110
-5704,1512,-105
-4828,712,357
-4722,-193,516
-5969,-55,-31
-7351,965,-105
-7119,1427,278
-6737,1440,590
-7158,1150,275
-7848,737,600
-8579,656,987
-9530,1335,684
-8615,1532,543
-7263,1271,669
-6123,1014,-63
-5030,533,-372
-4767,453,285
-6276,1000,590
-7518,1239,724
-7830,1177,911
-6833,264,955
-6417,-150,957
-6681,-138,728
-7800,247,365
-7739,574,248
-7550,595,579
-7481,589,415
-7464,559,229
-6745,167,464
-6698,-381,684
-6996,-177,688
-7021,147,365
-7998,1483,-1455
-5895,1735,-1146
-5095,1530,196
-4171,1306,475
-4640,1221,354
-5950,1137,-28
-7815,913,-104
-8647,915,116
-8204,971,503
-7740,1095,671
-7755,845,351
-7649,957,96
-7941,1153,-136
-8457,1230,-233
-9173,1471,-321
-9301,1806,-184
-8763,1754,163
-7812,1491,102
-6248,1070,-165
-5885,757,-328
-6691,456,-1157
-7331,736,-1628
-7295,626,-1778
-6577,380,-1549
-5718,151,-1661
-5681,-153,-1667
-6064,-409,-1181
-5491,-388,-847
-5343,-570,-888
-5608,-413,-911
-5519,-403,-1035
-4967,-495,-1173
-4695,-326,-1714
-4450,-200,-1762
-3828,-118,-1834
-3372,72,-1948
-3687,47,-1884
-4305,324,-1805
-4570,499,-1868
-4375,535,-1838
-3828,241,-1758
-3462,-132,-1596
-2419,-15,-1222
-2200,-91,-890
-2217,-371,-711
-1481,-1013,-403
-1196,-1069,-155
-1134,-1016,41
-908,-973,312
-757,-824,509
213,-631,645
722,-730,363
1717,-585,458
2608,-256,857
2438,132,595
3429,115,190
3834,-164,216
4445,141,101
5255,308,313
6431,-118,-110
7349,-1115,-334
9423,-1557,126
11202,-1771,1229
10913,-1703,1499
10173,-1307,870
9440,-1259,344
9353,-1304,451
9798,-917,667
11121,-149,30
11810,-184,-688
12711,10,-850
13776,72,-1451
13809,181,-1967
13940,30,-1593
14876,168,-1064
15916,135,-948
16875,121,-593
16892,295,-477
15285,102,-278
13738,-252,-223
12486,-166,277
12725,-371,389
13725,-441,586
13327,-820,192
12755,-1126,-402
12399,-1010,-421
13809,-877,-84
14120,-1091,-120
12115,-1105,-601
9213,-604,-753
9067,125,-212
10793,191,276
12128,-38,308
11140,-63,-29
9427,-39,-305
7471,-45,216
7269,-52,684
8197,-88,916
7756,-98,820
7632,107,505
7541,-198,4
7577,-504,-287
8446,-645,-215
8813,-625,-257
8945,-604,-469
8728,-690,-624
8634,-686,-440
7892,-476,-349
6269,-242,-560
4766,84,-594
3420,359,-469
3670,440,-257
3623,557,-412
3022,581,-535
2757,607,-600
3330,569,-387
4998,322,-196
5395,389,-191
5422,479,-287
5772,339,-144
5874,290,-69
5718,225,1
4842,576,9
4423,830,-10
4425,680,280
4574,380,430
4704,378,525
5215,365,581
5241,718,416
5081,735,299
5732,397,363
6606,-88,460
6494,66,457
6361,199,239
6348,366,217
6880,287,292
7590,2,782
7071,-130,904
5733,44,666
4308,-29,951
3179,-129,1304
3491,179,1347
4578,416,1043
5693,312,657
5656,97,531
4483,-138,487
3436,-136,446
4087,-150,583
5403,-164,554
6037,-181,439
5267,-113,434
3890,284,300
2981,535,228
3393,647,356
3369,586,616
2991,666,605
2460,740,656
1605,965,783
1377,752,810
1821,744,586
2774,634,296
2820,396,130
2591,335,65
1926,531,-101
846,770,-93
920,652,14
1879,360,302
1931,469,163
1731,619,124
1620,513,403
1643,314,614
2122,242,753
3218,510,440
3837,488,257
3758,243,338
3106,401,445
2925,498,413
2713,547,361
4235,263,141
4247,79,140
4035,-46,299
2171,356,-308
2455,532,-372
3893,266,-332
4402,94,3
5119,314,82
5282,501,360
4375,613,359
3921,912,547
4144,1034,240
4717,891,571
5006,937,716
3649,1086,734
2326,1163,154
2190,1044,-39
3160,854,-23
3872,904,84
4407,901,-95
2982,1298,-22
